TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-14 06:18:14,1771049894887,quant-mentor-l320zn4at-aimit4s-projects.vercel.app/favicon.ico,GET,,404,8tj4k-1771049894887-f021bb75e26f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,,static,/404.html,quant-mentor-l320zn4at-aimit4s-projects.vercel.app,quant-mentor-l320zn4at-aimit4s-projects.vercel.app,dpl_6qw9eFyvRPTfMxk7TDMivMRVm4jq,239,bom1,,,,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,,,
2026-02-14 06:18:13,1771049893282,quant-mentor-l320zn4at-aimit4s-projects.vercel.app/assets/images/logo.png,GET,_vercel_jwt=eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJzc28tcHJvdGVjdGlvbi1jYWxsYmFjayIsImF1ZCI6InF1YW50LW1lbnRvci1sMzIwem40YXQtYWltaXQ0cy1wcm9qZWN0cy52ZXJjZWwuYXBwIiwiaWF0IjoxNzcxMDQ5ODkzLCJleHAiOjE3NzEwNDk5MDMsInVzZXJJZCI6Ik1BNjY5bHdMZFFSTHkwUHhPV21WaElySSIsInVzZXJuYW1lIjoiYWltLWl0NCIsIm5vbmNlIjoiYTBkMzA4ZDcwMDE2MWU2M2JjMDM5YjFhMjVlYmYyZDY4MzgzOGE3ODQzNjIzZTI0MzcwZDdlMjBiM2I3NDMxOSJ9.SUfwYurxcc3L57OBMexKC7DpLhDjZcq1gMe8yWKpXu4&_vercel_jwe=eyJhbGciOiJkaXIiLCJlbmMiOiJBMjU2R0NNIn0..LQ52fHwPh8RyZKO0.owpNctscAtz_UT8_ArNBFVY8ip4KdTJzTXX6IQ2lyQnvmVGjZn4E-gSObAYaIrep-3ziBG4CKEGXecE-botZ807gypQOv5zTgzwnk9r-InVtCfQP_h5AJ9oFypOY4-TylgwszMP1ZS26f1XBQjGgmbU49_N9Etz1Pr0-FxxSX_P-hk05cu0Qfr6_xBVfQNyAryVto_YHx3tjwPX2V5RIpNusm0nhqE230rvhm2QCiE_Xi-dIK-nNvDfU0R08KBNq_jPLfpB9jQHuVRz94nh-or5TWW923Zmr9x-xAeQy1dCTB60Q4O41hlpSnmF4ojqVePOHTo_Klmva825ei1-JZZqeEu4.qgrk8ZQhcMSnIp0Sl2nUgQ,307,p9fhx-1771049893282-d047e1ed77f4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,,static,/assets/images/logo.png,quant-mentor-l320zn4at-aimit4s-projects.vercel.app,quant-mentor-l320zn4at-aimit4s-projects.vercel.app,dpl_6qw9eFyvRPTfMxk7TDMivMRVm4jq,837,bom1,,,,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,,,
2026-02-14 06:18:12,1771049892535,quant-mentor-l320zn4at-aimit4s-projects.vercel.app/assets/images/logo.png,GET,,401,8jz9j-1771049892535-1deb3f166df2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,,static,/assets/images/logo.png,quant-mentor-l320zn4at-aimit4s-projects.vercel.app,quant-mentor-l320zn4at-aimit4s-projects.vercel.app,dpl_6qw9eFyvRPTfMxk7TDMivMRVm4jq,229,bom1,,,,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,,,
2026-02-14 06:18:06,1771049886068,quant-mentor.vercel.app/api/reminders,GET,secret=Amit8788389%40,200,vw6v9-1771049886068-e20ec132c0db,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),,production,main,MISS,function,/api/reminders,quant-mentor.vercel.app,quant-mentor-l320zn4at-aimit4s-projects.vercel.app,dpl_6qw9eFyvRPTfMxk7TDMivMRVm4jq,830,iad1,246,2048,,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,01KHDCS8HBKM0RCDV5NTPWA27H,6gz7mXWlcltF,1
2026-02-14 06:18:02,1771049882035,quant-mentor.vercel.app/api/reminders,GET,,401,qx5zk-1771049882035-027d1c5a62f6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,MISS,function,/api/reminders,quant-mentor.vercel.app,quant-mentor-l320zn4at-aimit4s-projects.vercel.app,dpl_6qw9eFyvRPTfMxk7TDMivMRVm4jq,6,iad1,245,2048,,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,01KHDCS4YF837FD3HJCK838TD5,6gz7mXWlcltF,1
2026-02-14 06:16:05,1771049765723,quant-mentor.vercel.app/api/reminders,GET,secret=Amit8788389@,200,gvlz8-1771049765723-31fcc4ceba07,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),,production,main,MISS,function,/api/reminders,quant-mentor.vercel.app,quant-mentor-l320zn4at-aimit4s-projects.vercel.app,dpl_6qw9eFyvRPTfMxk7TDMivMRVm4jq,709,iad1,252,2048,,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,01KHDCNK2QNP3S2CW8Z2YK8YD0,6gz7mXWlcltF,1
2026-02-14 06:14:06,1771049646256,quant-mentor.vercel.app/api/reminders,GET,secret=Amit8788389@,200,mb75n-1771049645836-c929a0ec019e,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),error,production,main,MISS,function,/api/reminders,quant-mentor.vercel.app,quant-mentor.vercel.app,dpl_6qw9eFyvRPTfMxk7TDMivMRVm4jq,,,,,"(node:10) [DEP0169] DeprecationWarning: `url.parse()` behavior is not standardized and prone to errors that have security implications. Use the WHATWG URL API instead. CVEs are not issued for `url.parse()` vulnerabilities.
(Use `node --trace-deprecation ...` to show where the warning was created)",prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,,,
2026-02-14 06:14:05,1771049645836,quant-mentor.vercel.app/api/reminders,GET,secret=Amit8788389@,200,mb75n-1771049645836-c929a0ec019e,Mozilla/4.0 (compatible; cron-job.org; http://cron-job.org/abuse/),,production,main,MISS,function,/api/reminders,quant-mentor.vercel.app,quant-mentor.vercel.app,dpl_6qw9eFyvRPTfMxk7TDMivMRVm4jq,796,iad1,233,2048,,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,01KHDCHY23AQP367FE0MRJHVXJ,6gz7mXWlcltF,1
2026-02-14 06:13:17,1771049597297,quant-mentor-l320zn4at-aimit4s-projects.vercel.app/assets/images/logo.png,GET,,401,t2bsw-1771049597297-9a4f6b944634,vercel-favicon/1.0,,production,main,,static,/assets/images/logo.png,quant-mentor-l320zn4at-aimit4s-projects.vercel.app,quant-mentor-l320zn4at-aimit4s-projects.vercel.app,dpl_6qw9eFyvRPTfMxk7TDMivMRVm4jq,1,sfo1,,,,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,,,
2026-02-14 06:13:17,1771049597282,quant-mentor-l320zn4at-aimit4s-projects.vercel.app/assets/images/logo.png,GET,,401,5xrvj-1771049597282-00fbbb86d908,vercel-favicon/1.0,,production,main,,static,/assets/images/logo.png,quant-mentor-l320zn4at-aimit4s-projects.vercel.app,quant-mentor-l320zn4at-aimit4s-projects.vercel.app,dpl_6qw9eFyvRPTfMxk7TDMivMRVm4jq,3,sfo1,,,,prj_UcS0VGCet8TPsTKkrZQNKKbWKA0X,,,,,
